speech_recognition,start,end,max_confidence,mean_confidence,recognized_text
speech,0.25,5.3,0.9696752429008484,0.9518423676490784,section two you will hear a woman talking on the radio about a project
speech,5.57,9.3,0.8581157326698303,0.8576163053512573,the conserve door mice in one area of the uk
speech,10.25,14.3,0.9501588940620422,0.9241533875465393,you have some time to look at questions eleven to fourteen
speech,14.57,14.930000000000001,0.8360598087310791,0.8360597491264343,
speech,29.25,34.3,0.9832363724708557,0.9644333124160767,now listen carefully and answer questions eleven to fourteen
speech,35.25,51.93,0.978909432888031,0.9612979292869568,good morning and welcome to our weekly program about countryside matters with me today i have jackie law mutton jackie works for the nature organization action for wildlife and she's appealing for volunteers for project she's organizing so if you think he might be willing to help please list
speech,52.25,77.3,0.9029215574264526,0.8628218173980713,and i'm here today to talk about a project to save a type of mouse known as a dormouse we can still find the dormouse in this area but in the last few decades the number of door mice has seriously decline
speech,77.57,87.3,0.8951811194419861,0.8951658606529236,there are several reasons for this loss of habitat climate change competition for food
speech,88.25,98.92999999999999,0.9815295338630676,0.9679407477378845,the
speech,99.25,112.92999999999999,0.961367666721344,0.945334255695343,so i'll just tell you a little bit about the creature in case
speech,113.25,114.3,1.0,1.0,i already know
speech,115.25,122.92999999999999,0.9573783874511719,0.926500678062439,it's
speech,123.25,128.3,0.9997367262840271,0.9976223111152649,the golden in color and it has a thick fairy tale and big black eyes
speech,128.57,137.93,0.8393561840057373,0.8344435691833496,now you've probably all seen a picture of a dorm house but you're very unlikely to have seen a real on because they're strictly nocturnal
speech,138.25,142.93,0.9999991655349731,0.9999741315841675,they hibernate from october to april so it's not around a tool
speech,143.25,143.93,0.8868550062179565,0.8689934015274048,half the year
speech,144.57,159.3,0.820978581905365,0.8137871026992798,well do mice need to be near a variety of trees and plants so they can be sure of a continuous supply of food throughout the spring and summer they feed on flowers
speech,160.25,161.93,0.9850631952285767,0.973283052444458,that insects
speech,162.25,175.3,0.9120261669158936,0.8818610310554504,here in the uk the dormouse is most likely to live in places like hedgerows or woods or at the edges of farmland
speech,176.25,176.93,0.8603271842002869,0.8359461426734924,how do we
speech,177.25,192.61,0.999982476234436,0.9997109174728394,exactly where do mice ah well as they're hard to spot as i said we have to use in direct methods instead of trying to see door mice themselves we look for evidence of dormouse activity
speech,193.25,194.93,0.9792974591255188,0.9655818939208984,eat hazelnuts
speech,195.25,232.3,1.0,1.0,you'll need to get an identification sheet like this from us then you should spend time looking for hazelnut shells in the bottom of hedgerows or on the ground and woodlands
speech,235.25,241.3,0.9999884366989136,0.9998829364776611,the for you hear the rest of the talk you have some time to look at questions fifteen to twenty
speech,271.25,273.93,0.9907557368278503,0.977925717830658,listen and answer questions fifteen
speech,274.25,275.3,0.9999808073043823,0.9994828701019287,twenty
speech,276.25,285.3,0.9709148406982422,0.9498558044433594,if you find one use the identification sheet to try and establish what kind of creature has opened it you'll see from the pictures on the she
speech,285.57,296.3,0.8259113430976868,0.8201950192451477,for example you'll see the insects make a small hole in the shell less than two millimeters across
speech,297.25,303.3,1.0,1.0,another type of mouse called a would mouse would mice make a hole in the shell to
speech,303.57,307.93,0.8935033679008484,0.8758731484413147,but they leave parallel tooth marks on the in a room of the shell
speech,308.25,327.93,1.0,1.0,and these marks on neat and parallel so they're fairly easy to identify
speech,329.25,340.61,0.9575682282447815,0.9213155508041382,and finally we have our dorm ice
speech,341.57,344.3,0.9018979668617249,0.8978743553161621,in the shell the as a smooth in or edge
speech,344.57,354.93,0.8725988864898682,0.8699424862861633,firstly if you
speech,355.25,362.3,0.9999983310699463,0.9999803304672241,and any not switch you think have been opened by door mice you need to record their location as precisely as possible
speech,363.25,365.93,1.0,1.0,use the grid references on a map or
speech,366.25,376.3,0.9999998807907104,0.9999964833259583,but if you do be sure to include landmarks or road name's it's very important the we know exactly what are the shells came from
speech,377.25,377.93,0.8758523464202881,0.8746148943901062,the put the
speech,378.25,380.3,0.9999938011169434,0.9998128414154053,sounds in a small container
speech,381.25,384.3,1.0,1.0,they do a film box or matchbox
speech,385.25,386.93,1.0,0.9999969005584717,that prevents them from being crushed
speech,387.25,387.93,0.897443950176239,0.8893052339553833,just
speech,388.25,388.93,0.885103166103363,0.8820919990539551,and then
speech,389.25,394.3,0.9703727960586548,0.9548747539520264,give them a label just your name and contact details and send them to
speech,394.57,396.3,0.8653277158737183,0.8648738265037537,action for wildlife
speech,397.25,398.3,0.9397740364074707,0.9027606248855591,receive them
speech,399.25,402.3,1.0,1.0,the shells to confirm your identification
speech,403.25,405.3,0.9797542691230774,0.9570939540863037,the send them to his
speech,408.25,413.3,0.9999939203262329,0.9998774528503418,the end of section to you now have half a minute to check your answers
speech,443.25,445.3,0.9245585203170776,0.9073679447174072,now turn to section three
